"id","golfer_id","score","course_name","created_at","updated_at"
94,10,48.00,"Robert A. Black","2008-08-12 00:00:00",NULL
95,9,43.00,"Robert A. Black","2008-08-12 00:00:00",NULL
96,1,35.00,"Robert A. Black","2008-08-27 00:00:00",NULL
97,2,44.00,"Robert A. Black","2008-08-27 00:00:00",NULL
98,4,40.00,"Robert A. Black","2008-08-27 00:00:00",NULL
99,7,37.00,"Robert A. Black","2008-08-27 00:00:00",NULL
100,8,37.00,"Robert A. Black","2008-08-27 00:00:00",NULL
101,10,41.00,"Robert A. Black","2008-08-27 00:00:00",NULL
102,2,44.00,"Robert A. Black","2008-09-03 00:00:00",NULL
103,3,44.00,"Robert A. Black","2008-09-03 00:00:00",NULL
104,4,39.00,"Robert A. Black","2008-09-03 00:00:00",NULL
105,7,41.00,"Robert A. Black","2008-09-03 00:00:00",NULL
106,8,39.00,"Robert A. Black","2008-09-03 00:00:00",NULL
107,10,49.00,"Robert A. Black","2008-09-03 00:00:00",NULL
108,1,41.00,"Robert A. Black","2008-09-17 00:00:00",NULL
109,2,43.00,"Robert A. Black","2008-09-17 00:00:00",NULL
110,3,45.00,"Robert A. Black","2008-09-17 00:00:00",NULL
111,4,36.00,"Robert A. Black","2008-09-17 00:00:00",NULL
112,12,39.00,"Robert A. Black","2008-09-17 00:00:00",NULL
113,7,43.00,"Robert A. Black","2008-09-17 00:00:00",NULL
114,8,36.00,"Robert A. Black","2008-09-17 00:00:00",NULL
115,10,40.00,"Robert A. Black","2008-09-17 00:00:00",NULL
116,9,36.00,"Robert A. Black","2008-09-17 00:00:00",NULL
117,1,40.00,"Robert A. Black","2008-09-21 00:00:00",NULL
118,2,37.00,"Robert A. Black","2008-09-21 00:00:00",NULL
119,3,50.00,"Robert A. Black","2008-09-21 00:00:00",NULL
120,6,43.00,"Robert A. Black","2008-09-21 00:00:00",NULL
121,7,43.00,"Robert A. Black","2008-09-21 00:00:00",NULL
122,8,38.00,"Robert A. Black","2008-09-21 00:00:00",NULL
123,9,39.00,"Robert A. Black","2008-09-21 00:00:00",NULL
124,10,46.00,"Robert A. Black","2008-09-21 00:00:00",NULL
125,1,40.00,"Robert A. Black","2008-09-22 00:00:00",NULL
126,2,41.00,"Robert A. Black","2008-09-22 00:00:00",NULL
127,3,47.00,"Robert A. Black","2008-09-22 00:00:00",NULL
128,6,40.00,"Robert A. Black","2008-09-22 00:00:00",NULL
129,7,43.00,"Robert A. Black","2008-09-22 00:00:00",NULL
130,8,39.00,"Robert A. Black","2008-09-22 00:00:00",NULL
131,9,36.00,"Robert A. Black","2008-09-22 00:00:00",NULL
132,10,43.00,"Robert A. Black","2008-09-22 00:00:00",NULL
133,2,41.00,"Robert A. Black","2008-10-08 00:00:00",NULL
134,3,49.00,"Robert A. Black","2008-10-08 00:00:00",NULL
135,6,39.00,"Robert A. Black","2008-10-08 00:00:00",NULL
136,7,42.00,"Robert A. Black","2008-10-08 00:00:00",NULL
137,8,38.00,"Robert A. Black","2008-10-08 00:00:00",NULL
138,10,48.00,"Robert A. Black","2008-10-08 00:00:00",NULL
139,12,44.00,"Robert A. Black","2009-04-17 00:00:00",NULL
140,11,41.00,"Robert A. Black","2009-04-28 00:00:00",NULL
141,2,43.00,"Robert A. Black","2009-04-28 00:00:00",NULL
142,4,39.00,"Robert A. Black","2009-04-28 00:00:00",NULL
143,12,40.00,"Robert A. Black","2009-04-28 00:00:00",NULL
144,6,43.00,"Robert A. Black","2009-04-28 00:00:00",NULL
145,7,42.00,"Robert A. Black","2009-04-28 00:00:00",NULL
146,10,50.00,"Robert A. Black","2009-04-28 00:00:00",NULL
147,1,38.00,"Robert A. Black","2009-05-05 00:00:00",NULL
148,2,41.00,"Robert A. Black","2009-05-05 00:00:00",NULL
149,3,47.00,"Robert A. Black","2009-05-05 00:00:00",NULL
150,4,38.00,"Robert A. Black","2009-05-05 00:00:00",NULL
151,5,47.00,"Robert A. Black","2009-05-05 00:00:00",NULL
152,7,40.00,"Robert A. Black","2009-05-05 00:00:00",NULL
153,11,45.00,"Robert A. Black","2009-05-05 00:00:00",NULL
154,10,49.00,"Robert A. Black","2009-05-05 00:00:00",NULL
155,1,38.00,"Robert A. Black","2009-05-12 00:00:00",NULL
156,11,40.00,"Robert A. Black","2009-05-12 00:00:00",NULL
157,4,39.00,"Robert A. Black","2009-05-12 00:00:00",NULL
158,5,44.00,"Robert A. Black","2009-05-12 00:00:00",NULL
159,7,38.00,"Robert A. Black","2009-05-12 00:00:00",NULL
160,10,46.00,"Robert A. Black","2009-05-12 00:00:00",NULL
161,1,37.00,"Robert A. Black","2009-05-19 00:00:00",NULL
162,11,41.00,"Robert A. Black","2009-05-19 00:00:00",NULL
163,2,42.00,"Robert A. Black","2009-05-19 00:00:00",NULL
164,3,45.00,"Robert A. Black","2009-05-19 00:00:00",NULL
165,4,40.00,"Robert A. Black","2009-05-19 00:00:00",NULL
166,5,42.00,"Robert A. Black","2009-05-19 00:00:00",NULL
